id,titulo,autor,editorial,pags,isbn,ejemplares,leido,num
C868 C67f,"Fiestas de Toros… Y Otras Fiestas, Las (Cuadros de Costumbres)","Cordovez Moure, José María",Instituto Colombiano de Cultura,148,-,1,f,001C
782 A11c,Coplerío Colombiano,"Abadía M., Guillermo",Instituto Colombiano de Cultura,128,-,1,f,002C
C862 V17c,"Convulsiones, Las","Vargas Tejada, Luis",Instituto Colombiano de Cultura,88,-,1,f,003C
E863 C81c,Cuentos Ecuatorianos I,"Cuadra, José de la",Instituto Colombiano de Cultura,152,-,1,f,004C
C863 A59p,"Patria y los Días, La. Antología de Crónicas I","Alzate Avendaño, Gilberto",Instituto Colombiano de Cultura,152,-,1,f,005C
863 C27c,"Celoso Extremeño, El","Cervantes Saavedra, Miguel de",Instituto Colombiano de Cultura,80,-,1,f,006C
986.1 A16d,Descubridor y Fundador,"Acosta de Samper, Soledad",Instituto Colombiano de Cultura,104,-,1,f,007C
891.3 L47c,Capitanes Intrépidos,"Kipling, Rudyard",Instituto Colombiano de Cultura,216,-,1,f,008C
986.1 V15p,Políticos en la Intimidad,"Vallejo, Alejandro",Instituto Colombiano de Cultura,108,-,1,f,009C
C863 B66l,Lucero - Cuento de Navidad y Otros Cuentos Infantiles,"Bonilla Naar, Alfonso…",Instituto Colombiano de Cultura,104,-,1,f,010C
C863 S45p,"Par de Pichones, Un","Silvestre, Luis Segundo",Instituto Colombiano de Cultura,140,-,1,f,011C
862 V23n,"Nuevo mundo Descubierto por Cristobal Colón, El","Vega, Félix Lope de",Instituto Colombiano de Cultura,200,-,1,f,012C
V863 B51c,Cuentos Venezolanos. Antología I,"Blanco Fombona, Rufino",Instituto Colombiano de Cultura,200,,1,f,013C
C861 J17n,Nueva Poesía Colombiana. Antología,"Jaramillo Escobar, Jaime",Instituto Colombiano de Cultura,100,-,1,f,014C
C861 A71p,"Patria y los Días, La. Antología de Crónicas II","Arciniegas, Germán…",Instituto Colombiano de Cultura,148,-,1,f,015C
923 S16m,"Mi Vida y Otras Vidas, De. Extractos","Sanín Cano, Baldomero",Instituto Colombiano de Cultura,80,-,1,f,016C
893 B15b1,"Búsqueda de lo Absoluto I, La","Balzac, Honorato de",Instituto Colombiano de Cultura,148,-,1,f,017C
C861 P65l,Lección de Poesía. Selección de Poemas para Niños,"Pombo, Rafael",Instituto Colombiano de Cultura,120,-,2,f,019C
923 M47b1,Bolívar. I - La Forja del Héroe,"Miramón, Alberto",Instituto Colombiano de Cultura,128,-,1,f,020C
070.43 S16d,"Danza de las horas, La","Calibán, Seud",Instituto Colombiano de Cultura,160,-,1,f,025C
923 M47b2,Bolívar. II - Prometeo Criollo,"Miramón, Alberto",Instituto Colombiano de Cultura,160,-,1,f,021C
C861 R64c,Cuadernos de Piedra y Cielo,"Rojas, Jorge…",Instituto Colombiano de Cultura,164,-,1,f,022C
C862 O86z,"Zar de precios y Otras Obras, El","Osorio, Luis Enrique",Instituto Colombiano de Cultura,168,-,1,f,023C
P863 A51c,Cuentos Panameños. Antología,"Alba, Manuel María",Instituto Colombiano de Cultura,160,-,1,f,024C
C863 V15s,7 Cuentistas Jóvenes,"Valencia, Elmo",Instituto Colombiano de Cultura,144,-,1,f,026C
891.3 G67j,"Jóven Italia, La","Gorki, Máximo",Instituto Colombiano de Cultura,128,-,1,f,027C
C863 P68h,"Hombres de el Dorado, Los","Posada, Eduardo",Instituto Colombiano de Cultura,128,-,1,f,028C
843 M19b,Bola de Sebo,"Maupassant, Guy de",Instituto Colombiano de Cultura,84,-,1,f,029C
C863 C11a,"Almirante Niño y Otros Cuentos, El","Caballero Calderón, Eduardo",Instituto Colombiano de Cultura,128,-,1,f,030C
891.3 P88 h,"Hija del Capitán, La","Pushkin, Alejandro Sergievich",Editorial Prensa Moderna,88,-,1,f,-
C861 C11s,Siervo sin Tierra,"Caballero Calderón, Eduardo",-,200,-,1,f,-
C863 C61d,Derrumbes,"Cocherín, Iván",Al Revés,116,-,1,f,-
