id,titulo,autor,editorial,pags,isbn,ejemplares,leido,db_id
C862 L25i,"Ifigenia - Aventura de Don Melón y Doña Endrina, La","Lemaitre, Eduardo",Instituto Colombiano de Cultura,148,-,1,f,507.0
869.3 A55c,Cuentos Portugueses. Antología,"Almeida, Viana de",Instituto Colombiano de Cultura,144,-,1,f,508.0
C868 A71t2,Transparencias de Colombia II,"Arciniegas, Germán",Instituto Colombiano de Cultura,128,-,1,f,509.0
C863 P46q,Quiriley,"Piñeros Corpas, Joaquín",Instituto Colombiano de Cultura,72,-,1,f,510.0
925 B18c,Copérnico,"Bateman, Alfredo D.",Instituto Colombiano de Cultura,136,-,1,f,511.0
C863 T78d,"Día Que terminó el Verano y Otros Cuentos, El","Truque, Carlos Arturo",Instituto Colombiano de Cultura,152,-,1,f,512.0
002 A66t,También Usted Puede Hacerlo,Anónimo,"Salvat Editores, S.A.",140,-,1,f,513.0
813 B25m,"Memorias de Mosby y Otros Relatos, Las","Bellow, Saul","Salvat Editores, S.A.",182,-,1,f,514.0
523 R65s,Secretos del Cosmos,"Roman, Colin A.","Salvat Editores, S.A.",188,-,1,t,515.0
823 S82i,"Isla del Tesoro, La","Stevenon, Robert Louis","Salvat Editores, S.A.",190,-,1,t,516.0
574 P46m,"Mente Humana, La","Pinillos, Jose Luis","Salvat Editores, S.A.",182,-,1,t,517.0
001 M47v,Visado Para el Futuro,"Miravitlles, Luis","Salvat Editores, S.A.",188,-,1,t,518.0
813 C51o,"Odisea Espacial 2001, Una","Clarke, Arthur C.","Salvat Editores, S.A.",190,-,1,t,519.0
900 M15c,"Conquista de la Tierra, La","Maluquer de Motes, Juan","Salvat Editores, S.A.",198,-,1,t,520.0
861 A66p,Poma de Mio Cid,Anónimo,"Salvat Editores, S.A.",156,-,1,t,521.0
508 G17i,Izquierda y Derecha en el Cosmos,"Gardner, Martin","Salvat Editores, S.A.",238,-,1,t,522.0
808 M47s,Sendero Cheyene,"Miranda, N.",Editorial 'Cies' Vigo,126,-,1,f,523.0
861 A66 p,Poema de Mío Cid,Anónimo,Alonso - Ediciones,128,-,1,f,524.0
C863 B27c,"Cuentos, Relatos y 'Miedo'","Bernal C., Juan de Dios",-,98,-,1,f,525.0
C861 C16v,"Voz en la Penumbra, La","Cañaveral, Jesús",Al Revés,100,-,1,f,526.0
590.1 C17c,"Conducta de los Animales, La","Carthy, J.D.","Salvat Editores, S.A.",178,-,1,f,527.0
595.7 H83m,"Mundo de los Insectos, El","Hugh Newman, L.","Salvat Editores, S.A.",188,-,1,f,528.0
V863 U85l,"Lanzas Coloradas, Las","Uslar Pietri, Arturo","Salvat Editores, S.A.",174,-,1,f,529.0
923 S16a1,Antonio Nariño I,"Santos Molano, Enrique",Instituto Colombiano de Cultura,104,-,1,f,530.0
923 S16a2,Antonio Nariño II,"Santos Molano, Enrique",Instituto Colombiano de Cultura,128,-,1,f,531.0
460 R68n,Nuestra Lengua en Ambos Mundos,"Rosenblat, Angel","Salvat Editores, S.A.",206,-,1,f,532.0
530 G15b,Biografía de la Física,"Gamow, George","Salvat Editores, S.A.",264,-,1,f,533.0
600 C51h,"Hombre y la Tierra, El","Clark, Ronald W…","Salvat Editores, S.A.",130,-,1,f,534.0
759 G15p,Pintura Contemporanea,"Gallego, Julián","Salvat Editores, S.A.",104,-,1,f,535.0
813 L29e,Este Inmenso Mundo,"Lewis, Sinclair","Salvat Editores, S.A.",166,-,1,f,536.0
822 S31r,Romeo y Julieta,"Shakespeare, William","Salvat Editores, S.A.",156,-,1,f,537.0
823 C31c,Cuentos de Canterbury,"Chaucer, Geoffrey","Salvat Editores, S.A.",190,-,1,f,538.0
823 W66f,Flush,"Woolf, Virginia","Salvat Editores, S.A.",154,-,1,f,539.0
833 M16r,Relato de mi Vida,"Mann, Thomas","Salvat Editores, S.A.",158,-,1,f,540.0
843 D18c,Cartas Desde mi Molino,"Daudet, Alphonse","Salvat Editores, S.A.",172,-,1,f,541.0
843 M18b,Bernardo Quesnay,"Maurois, André","Salvat Editores, S.A.",172,-,1,f,542.0
843 M18p,Pedro y Juan - Bola de Sebo,"Maupassant, Guy de","Salvat Editores, S.A.",188,-,1,f,543.0
843 V27f,"Faro del fin del Mundo, El","Verne, Julio","Salvat Editores, S.A.",174,-,1,f,544.0
